pkey,Target,SiO2,SiO2 RMSEP,SiO2_shots_stdev,TiO2,TiO2 RMSEP,TiO2_shots_stdev,Al2O3,Al2O3 RMSEP,Al2O3_shots_stdev,FeOT,FeOT RMSEP,FeOT_shots_stdev,MgO,MgO RMSEP,MgO_shots_stdev,CaO,CaO RMSEP,CaO_shots_stdev,Na2O,Na2O RMSEP,Na2O_shots_stdev,K2O,K2O RMSEP,K2O_shots_stdev,MnO,MnO RMSEP,MnO_shots_stdev,Sum of Oxides,Distance (m),Laser Power,Spectrum Total,Source File
cl5_398645626ccs_f0030004ccam02013p3,Coronation,45.8,5,0.4,0.97,0.49,0.02,11.6,3.5,0.5,17.9,3.7,0.3,4,1.8,0.1,8.4,2.6,0.2,3.79,0.68,0.18,0.66,0.73,0.03,0.16,0.06,0.01,93.27,2.70011,100A/95A/95A,1.02E+15,moc_0000_0089
cl5_398646038ccs_f0030004ccam03013p3,NAu-2_Med-S,40,5.5,0.7,0.63,0.4,0.01,6.3,3.2,0.1,17.2,3.6,0.1,1.9,1.6,0.2,15,3.4,0.6,1.03,0.56,0.03,0.17,0.56,0.01,0.08,0.04,0.01,82.23,1.58076,100A/60A/60A,4.12E+14,moc_0000_0089
