wave,scam_0012_0668002890_477_cl1_scam15210_maaz_________________01p01
243.7894287109375,147131547648.0
243.8421630859375,168795160576.0
243.8948974609375,221128294400.0
243.9476318359375,269078708224.0
244.0003662109375,407975297024.0
244.05308532714844,440362401792.0
244.15850830078125,127928238080.0
244.21121215820312,60711157760.0
244.263916015625,33269260288.0
244.3166046142578,63580844032.0
244.3693084716797,145390649344.0
244.42198181152344,280199495680.0
244.47467041015625,421507235840.0
244.52734375,667311407104.0
244.63267517089844,641830027264.0
244.68533325195312,526725251072.0
244.7379913330078,418396274688.0
244.7906494140625,304156835840.0
244.9485626220703,14539420672.0
245.00119018554688,16791702528.0
245.05381774902344,20452515840.0
245.1064453125,13355666432.0
245.1590576171875,3410010624.0
245.26426696777344,-24183873536.0
245.31686401367188,-12796148736.0
245.3694610595703,14676718592.0
245.4220428466797,45676072960.0
245.52720642089844,74165592064.0
245.5797882080078,59824574464.0
245.68492126464844,26742335488.0
245.7374725341797,44068200448.0
245.8425750732422,174049673216.0
245.89512634277344,256988004352.0
246.0001983642578,458731782144.0
246.1577606201172,435592953856.0
246.2102813720703,562277711872.0
246.31529235839844,472122425344.0
246.36778259277344,338942525440.0
246.42027282714844,290212577280.0
246.47276306152344,315545747456.0
246.52525329589844,320647069696.0
246.6302032470703,330115678208.0
246.6826629638672,314660880384.0
246.73513793945312,313520357376.0
246.8400421142578,113669750784.0
246.94493103027344,97546289152.0
246.99737548828125,127353749504.0
247.0498046875,157774741504.0
247.10223388671875,176934682624.0
247.15464782714844,176808116224.0
247.2594757080078,116334878720.0
247.3118896484375,191997837312.0
247.41668701171875,267471437824.0
247.4690704345703,174874116096.0
247.57383728027344,112925638656.0
247.626220703125,117409726464.0
247.6785888671875,86658457600.0
247.73095703125,131514269696.0
247.7833251953125,334007009280.0
247.9927215576172,1393733664768.0
248.09738159179688,387271819264.0
248.1497039794922,297952215040.0
248.2020263671875,238095794176.0
248.2543487548828,343403429888.0
248.3589630126953,712021049344.0
248.46356201171875,609743732736.0
248.62042236328125,122900250624.0
248.72496032714844,239422439424.0
248.7772216796875,291573399552.0
248.82948303222656,307656851456.0
249.09071350097656,1001501622272.0
249.1429443359375,997929779200.0
249.19517517089844,941000359936.0
249.2473907470703,875599101952.0
249.2996063232422,874413096960.0
249.40402221679688,1460457570304.0
249.4562225341797,1293467385856.0
249.5084228515625,493803405312.0
249.56060791015625,80989192192.0
249.61279296875,42946662400.0
249.71714782714844,127662014464.0
249.76931762695312,146861375488.0
249.8214874267578,250000932864.0
249.87364196777344,383976538112.0
249.9779510498047,554761584640.0
250.03009033203125,450653126656.0
250.0822296142578,202201530368.0
250.18649291992188,261504974848.0
250.29074096679688,327490142208.0
250.3428497314453,366594883584.0
250.4470672607422,425907814400.0
250.6033477783203,361205071872.0
250.6554412841797,642784428032.0
250.70751953125,1007272067072.0
250.75958251953125,1310529159168.0
250.8637237548828,700535078912.0
250.96783447265625,300097503232.0
251.01988220214844,326929874944.0
251.17599487304688,677297979392.0
251.22802734375,866149400576.0
251.28005981445312,980865449984.0
251.3320770263672,852821475328.0
251.38409423828125,763750187008.0
251.43609619140625,981603516416.0
251.48809814453125,1431009099776.0
251.54010009765625,1925908660224.0
251.5920867919922,2096864428032.0
251.6440887451172,2210572795904.0
251.748046875,2407776124928.0
251.80001831054688,1242980024320.0
251.95591735839844,1071766634496.0
252.0078582763672,1223004782592.0
252.059814453125,1037882032128.0
252.1636962890625,412082470912.0
252.2156219482422,532217528320.0
252.37139892578125,1060616273920.0
252.42330932617188,1264720936960.0
252.4752197265625,1420798066688.0
252.52713012695312,1552717053952.0
252.5790252685547,1368548966400.0
252.63092041015625,1180826861568.0
252.68280029296875,1167177678848.0
252.7346954345703,1041302093824.0
252.7865753173828,1083310538752.0
252.83843994140625,1307373862912.0
252.8903045654297,1633821130752.0
252.94216918945312,1852238331904.0
252.99403381347656,1741506740224.0
253.0977325439453,754099159040.0
253.1495819091797,351516819456.0
253.201416015625,175841951744.0
253.2532501220703,186838646784.0
253.35690307617188,441361530880.0
253.56414794921875,718322466816.0
253.7195281982422,871201177600.0
253.7713165283203,1000900067328.0
253.87486267089844,1024125239296.0
253.9266357421875,1223535624192.0
253.9783935546875,1421050249216.0
254.0301513671875,1215514279936.0
254.0819091796875,789936144384.0
254.13365173339844,771601530880.0
254.2371368408203,1152050921472.0
254.28887939453125,1097926377472.0
254.34060668945312,783337521152.0
254.4440460205078,396650512384.0
254.54747009277344,293476990976.0
254.5991668701172,344549654528.0
254.7025604248047,352441761792.0
254.80593872070312,326843039744.0
254.85760498046875,371076464640.0
254.90928649902344,529069735936.0
255.0126190185547,960729972736.0
255.06427001953125,904135507968.0
255.11593627929688,677000249344.0
255.27085876464844,46304796672.0
255.37413024902344,-20982132736.0
255.42575073242188,-7562581504.0
255.4773712158203,-7626289664.0
255.5289764404297,2017097728.0
255.63218688964844,12477693952.0
255.6837921142578,805116544.0
255.78697204589844,27875151872.0
255.83856201171875,47286738944.0
