sol_range,n_samples,Al2O3_RMSE_mean,Al2O3_RMSE_std,CaO_RMSE_mean,CaO_RMSE_std,FeOT_RMSE_mean,FeOT_RMSE_std,K2O_RMSE_mean,K2O_RMSE_std,MgO_RMSE_mean,MgO_RMSE_std,Na2O_RMSE_mean,Na2O_RMSE_std,SiO2_RMSE_mean,SiO2_RMSE_std,TiO2_RMSE_mean,TiO2_RMSE_std
127-227,22,6.854650768896945,0.1791108433317458,2.4886236606263306,6.611450439205612,4.064704787092516,2.6992298033433775,0.721489231473981,2.235966951069594,7.404034383020531,0.43738574143204584,3.441426529250045,11.52079265550296,9.891145176881352,3.621612065279967,0.4719202529275963,4.799445907263057
227-327,22,7.290724772102707,0.17687316012289916,2.462249860088968,6.769905042674968,4.030599600787651,2.9819517382475222,0.6532484552320591,2.527123022491118,6.760344277154359,0.4151612055044835,3.4642630636952387,11.420760920307467,9.773935374302255,3.6514703775248885,0.4330742277492697,5.758674340273271
27-127,22,6.391626717350946,0.1916846227825634,2.50781173056875,7.290889453380484,4.151226388090404,2.9711042711163085,0.6765540131395628,1.8765925605103713,6.244995782637278,0.4558452647792844,3.3959732169472217,11.230040537767238,9.956502907097413,3.676219646593912,0.3877819784712249,3.4855193302229095
327-427,9,6.149857987220478,0.036250000000000004,2.145337205508732,7.118169417382417,6.523944527010101,3.0976144332502633,0.642408048446644,0.587698424825051,8.802023094527469,0.044701390198899696,1.1293409074879464,12.573313366943573,15.586847167990067,3.714376014323887,0.4781878283579425,0.4225366411271727
427-527,22,6.3598154455567935,0.18776546059820406,2.4217317356059453,6.498639496477777,4.113910550014962,2.692870895147433,0.6651660416836322,1.9462493657408881,7.193539453800201,0.45282636594051,3.5423130866893033,10.789320364580895,9.836578266134996,3.5272845992450197,0.42550482338898693,4.403892563403902
