Target,sol_range,SiO2_RMSE,TiO2_RMSE,Al2O3_RMSE,FeOT_RMSE,MgO_RMSE,CaO_RMSE,Na2O_RMSE,K2O_RMSE,MnO_RMSE
NAu-2_Med-S,13-113,6.131834961901701,0.10677078252031315,0.9044703790985458,2.3266765102466085,0.5439056290693574,1.457703673590761,0.059860949986893223,0.07681145747868606,0.021242168033104435
NAu-2_Med-S,113-213,6.208413646012967,0.11832159566199238,0.9279367794557275,1.4195387455085542,1.20381338531629,1.2918591254467342,0.127148207485071,0.06855654600401043,0.022572192142450393
NAu-2_Med-S,213-313,6.420000000000002,0.14,1.08,0.8344999999999985,1.0500000000000003,0.16999999999999993,0.019999999999999796,0.02999999999999997,0.00874112330535829
NAu-2_Med-S,313-413,4.420000000000002,0.1100000000000001,1.08,0.33449999999999847,0.3500000000000001,1.9299999999999997,0.07000000000000006,0.06999999999999998,0.028741123305358295
NAu-2_Med-S,913-1013,3.9532138823999907,0.08396427811873336,1.608695123384167,2.0251333906683766,0.11180339887498944,0.735459040327876,0.16015617378046962,0.08499999999999998,0.046779117862723305
NAu-2_Med-S,1013-1113,5.1200000000000045,0.12,0.6800000000000006,0.4344999999999999,0.4500000000000002,0.3699999999999992,0.1200000000000001,0.09999999999999998,0.00874112330535829
NAu-2_Med-S,1113-1213,5.6200000000000045,0.040000000000000036,1.08,2.134499999999999,0.75,0.46999999999999886,0.019999999999999796,0.02999999999999997,0.0187411233053583
NAu-2_Med-S,1413-1513,3.573149870912222,0.1431782106327635,1.2459534501738019,1.1797204117925562,0.42720018726587666,1.8970766985021987,0.13729530217745983,0.08514693182963198,0.028082751571030688
NAu-2_Med-S,1513-1613,4.520000000000003,0.040000000000000036,0.5800000000000001,1.1344999999999992,0.4500000000000002,0.030000000000001137,0.0,0.05999999999999997,0.00874112330535829
NAu-2_Med-S,1613-1713,5.11531035226603,0.020000000000000018,0.7863841300535002,0.9398352249197709,0.25,1.0830050784737817,0.11423659658795866,0.06324555320336757,0.0187411233053583
NAu-2_Med-S,1813-1913,4.6200000000000045,0.06000000000000005,0.5800000000000001,1.3344999999999985,0.15000000000000036,1.33,0.1200000000000001,0.04999999999999999,0.0187411233053583
NAu-2_Med-S,2013-2113,2.9810065414218756,0.03535533905932741,0.5860034129593447,1.1105360192267497,0.6800735254367724,1.0300000000000011,0.07106335201775939,0.04301162633521311,0.014622532943818623
NAu-2_Med-S,2113-2213,3.720000000000006,0.06000000000000005,0.5800000000000001,0.5344999999999978,0.5500000000000003,1.4299999999999997,0.10000000000000009,0.019999999999999962,0.0187411233053583
NAu-2_Med-S,2213-2313,5.397351202210215,0.17804493814764855,0.6319810123729988,1.4064459641237548,0.40311288741492773,1.8002499826412992,0.06041522986797292,0.07810249675906654,0.028082751571030688
NAu-2_Med-S,2313-2413,6.920000000000002,0.010000000000000009,1.1800000000000006,1.4344999999999999,0.5500000000000003,1.17,0.010000000000000009,0.08999999999999997,0.00874112330535829
NAu-2_Med-S,2413-2513,2.720000000000006,0.08000000000000007,0.4800000000000004,1.4344999999999999,0.4500000000000002,0.8300000000000001,0.020000000000000018,0.13999999999999999,0.03874112330535829
NAu-2_Med-S,2513-2613,4.393449669678718,0.04527692569068712,0.43289721643826745,0.878088976129413,0.6726812023536857,0.7529276193632434,0.2050609665440989,0.10440306508910549,0.028082751571030688
NAu-2_Med-S,2613-2713,2.8200000000000003,0.040000000000000036,0.1800000000000006,1.2345000000000006,1.5500000000000003,1.1300000000000008,0.08000000000000007,0.030000000000000027,0.0187411233053583
NAu-2_Med-S,2713-2813,3.3434114314573997,0.057008771254956944,0.5800000000000001,1.08565199304381,0.8139410298049856,1.152779250333732,0.17720045146669347,0.007071067811865481,0.00874112330535829
NAu-2_Med-S,2913-3013,3.0555523232306148,0.07648529270389184,0.8315046602394963,1.6466906965183221,0.30413812651491096,0.20223748416156706,0.06670832032063173,0.12649110640673514,0.046241603216309
NAu-2_Hi-S,13-113,9.545970645018537,0.2701645589060284,1.9753171334694026,4.890071038906854,1.0986051762727744,4.844075419176159,0.3204510709747884,0.04932882862316247,0.019938641862143457
NAu-2_Hi-S,113-213,10.624813723857311,0.26012817353502227,2.261584989927787,3.0423805169636493,1.1452510641776326,5.722563528116866,0.33832922821811695,0.05597618541248889,0.011898950282115317
NAu-2_Hi-S,213-313,10.700000000000003,0.25,2.11,0.08390000000000164,0.9600000000000002,5.880000000000001,0.29999999999999993,0.07,0.027591994835377658
NAu-2_Hi-S,313-413,9.326532610049451,0.16948839426188947,2.5212559526845677,3.8494854405970176,1.1508898159341983,5.449034680323519,0.4575391844019021,0.04850393364405993,0.017109074841018083
NAu-2_Hi-S,913-1013,8.0156097709407,0.5660830327787612,2.3647621444872637,2.7234535446744808,0.7665507158694721,4.181196001146085,0.3413209633175202,0.0570087712549569,0.05845372416808161
NAu-2_Hi-S,1513-1613,7.700000000000003,0.12,2.61,1.283900000000001,0.16000000000000014,3.219999999999999,0.030000000000000027,0.05,0.037591994835377666
NAu-2_Hi-S,1613-1713,10.300000000000004,0.18999999999999995,2.2100000000000004,0.8160999999999969,1.16,3.880000000000001,0.26,0.05,0.027591994835377658
NAu-2_Hi-S,1713-1813,9.899999999999999,0.18999999999999995,2.4099999999999997,1.316099999999997,1.0600000000000003,3.880000000000001,0.2899999999999999,0.06,0.04759199483537766
NAu-2_Hi-S,1813-1913,7.399999999999999,0.22999999999999998,1.9099999999999997,2.0161,1.0600000000000003,2.080000000000002,0.25,0.07,0.037591994835377666
